address,weight,idz,transaction
tz1iJ5sPV9Nyx9FfNmae7sdj8dkLYLjaxpYz,5,69.242126,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1gzciga1YNk3Af1tCTyvrz3TWffXfdphkz,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1gmajxhmKt22CbcsSA7WWXSATgbuVEmzTC,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1f6jPsqPqjVXVrDrbcQu4hsGosE2MS4swj,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1X1bSezoRmbVXjfjovs1wNRNYx82NZc5R6,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1SxpVyWegtxCEos18kG4VDsF6NwW6XyHxv,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1QhfRjmu7WW5UmTLSa8GcKMMgj6LKnBv9j,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1NGnE5hbz3JLDQNY8BaE3yExbj1UaB2oNL,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1XHUs2N1DLQvjTrkbyTCvuYeiuw1S2EQ6w,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1cGoZkGp734keHYaxrsGwBCA8Dgw5eEFMm,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1e2NW2v6p19CAJd2HUGAiyMfsrsRUtgtkv,9,124.63582679999999,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1LuKudoyxsgXCQ7McZKNzHonQbmbFRP8nE,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1iDh6fxwinh2Vcokz5dUGffopQH1NMonCM,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1dHakG9EBnsCJqFWPVeFgko7bjBwHPQM9V,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1ZaS1SD417KGSUbnfX32nofY5zMLfXAEd7,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1Z1haoESpTNf6nm4GxhhzMhKtnSEyGiNMh,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1YJ4cqotfSvXs8j4pidz9rSbqEHyu5AdtU,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1d41E426xNxjQ7WD16bzYFAGEKBbYcG4h7,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1VMfd1xTQNJjTKCpJApXZNi9bwvfWk52jL,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1VbNdcydjuAyTrm7cFCR6DBWgHu2KQqaLj,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1fZ4AbjcRDWmaGxvM16mst2akqy8kbEvgi,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1isDrtr8W5RDQ5WHoPuBPAgefqaeo8RbdX,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1fPnXT2TDqZebTsSM1eudddbMdA5yoxrh7,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1QRK6C23DNHyXqK9hL5CpQbQT4iRrQ48FZ,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1YC3LvFuLEEVhecNEGfhnjXjY85Yam1xhn,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1Y5zVgDAQB1EDMmLuLjwvAqNHuLf8XH3ay,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1RbX92oCNiC4m311HiXePjP3Z35Mj7nGBj,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1QFUaar1aMfFQhBStarvArjXCmhW74EnVg,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
